label,bit,bit_label,line,data_ro,p1,pearson_to_rand,abs_pearson_to_rand,mi_to_rand_bits
w5,2,b02_line0_ro2,0,2,0.560546875,-0.010255020,0.010255020,0.000075865
w5,0,b00_line0_ro0,0,0,0.502929688,-0.009882121,0.009882121,0.000070445
w5,44,b44_line5_ro4,5,4,0.508789062,0.009425556,0.009425556,0.000064086
w5,58,b58_line7_ro2,7,2,0.537109375,-0.009289473,0.009289473,0.000062250
w5,19,b19_line2_ro3,2,3,0.528320312,0.008674941,0.008674941,0.000054285
w5,28,b28_line3_ro4,3,4,0.517578125,-0.008506025,0.008506025,0.000052192
w5,13,b13_line1_ro5,1,5,0.515625000,-0.008428575,0.008428575,0.000051246
w5,48,b48_line6_ro0,6,0,0.490234375,0.008197097,0.008197097,0.000048470
w5,15,b15_line1_ro7,1,7,0.541992188,0.008155669,0.008155669,0.000047980
w5,24,b24_line3_ro0,3,0,0.496093750,0.007966851,0.007966851,0.000045785
w5,52,b52_line6_ro4,6,4,0.505859375,0.007585586,0.007585586,0.000041507
w5,20,b20_line2_ro4,2,4,0.509765625,0.007433866,0.007433866,0.000039864
w5,14,b14_line1_ro6,1,6,0.567382812,0.007200532,0.007200532,0.000037400
w5,56,b56_line7_ro0,7,0,0.481445312,0.006589963,0.006589963,0.000031327
w5,37,b37_line4_ro5,4,5,0.491210938,0.006204840,0.006204840,0.000027772
w5,50,b50_line6_ro2,6,2,0.548828125,-0.005842634,0.005842634,0.000024625
w5,59,b59_line7_ro3,7,3,0.526367188,0.004837059,0.004837059,0.000016877
w5,46,b46_line5_ro6,5,6,0.547851562,0.004009338,0.004009338,0.000011595
w5,18,b18_line2_ro2,2,2,0.551757812,0.003859049,0.003859049,0.000010742
w5,32,b32_line4_ro0,4,0,0.496093750,-0.003754493,0.003754493,0.000010168
w5,41,b41_line5_ro1,5,1,0.504882812,0.001762810,0.001762810,0.000002242
w5,29,b29_line3_ro5,3,5,0.506835938,0.001686576,0.001686576,0.000002052
w5,47,b47_line5_ro7,5,7,0.537109375,-0.001453871,0.001453871,0.000001525
w5,1,b01_line0_ro1,0,1,0.514648438,0.001381777,0.001381777,0.000001377
w5,4,b04_line0_ro4,0,4,0.515625000,-0.000610766,0.000610766,0.000000269
w5,6,b06_line0_ro6,0,6,0.559570312,-0.000376594,0.000376594,0.000000102
w5,60,b60_line7_ro4,7,4,0.507812500,-0.000305271,0.000305271,0.000000067
w5,53,b53_line6_ro5,6,5,0.498046875,0.000076309,0.000076309,0.000000004
