label,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,pearson_r,abs_pearson_r,mi_bits
w5,11,35,1,4,3,3,-0.282902949,0.282902949,0.058663178
w5,7,23,0,2,7,7,-0.282516766,0.282516766,0.058635073
w5,52,60,6,7,4,4,-0.269765810,0.269765810,0.053155900
w5,46,54,5,6,6,6,-0.261818273,0.261818273,0.050179010
w5,21,29,2,3,5,5,-0.258047654,0.258047654,0.048585546
w5,8,32,1,4,0,0,0.253860709,0.253860709,0.046999302
w5,4,52,0,6,4,4,0.253681348,0.253681348,0.046929119
w5,6,54,0,6,6,6,-0.252183310,0.252183310,0.046543654
w5,24,48,3,6,0,0,0.249902707,0.249902707,0.045528576
w5,1,49,0,6,1,1,-0.248153394,0.248153394,0.044889868
w5,5,61,0,7,5,5,-0.246869258,0.246869258,0.044401517
w5,10,50,1,6,2,2,0.245046621,0.245046621,0.043623527
w5,3,11,0,1,3,3,0.237301422,0.237301422,0.040942995
w5,7,15,0,1,7,7,0.236063651,0.236063651,0.040496341
w5,36,44,4,5,4,4,-0.230611336,0.230611336,0.038711678
w5,21,45,2,5,5,5,-0.230324882,0.230324882,0.038611091
w5,10,18,1,2,2,2,-0.224367039,0.224367039,0.036805581
w5,12,52,1,6,4,4,0.224359380,0.224359380,0.036618607
w5,17,57,2,7,1,1,0.208950274,0.208950274,0.031727146
w5,19,27,2,3,3,3,0.208397914,0.208397914,0.031535327
w5,3,51,0,6,3,3,0.203814580,0.203814580,0.030148388
w5,25,33,3,4,1,1,0.191156325,0.191156325,0.026519737
w5,27,35,3,4,3,3,0.190853381,0.190853381,0.026419419
w5,0,48,0,6,0,0,-0.185470996,0.185470996,0.024957761
w5,33,41,4,5,1,1,0.183459181,0.183459181,0.024415815
w5,20,44,2,5,4,4,-0.178139197,0.178139197,0.023015855
w5,37,53,4,6,5,5,-0.173924989,0.173924989,0.021932566
w5,14,54,1,6,6,6,0.168984908,0.168984908,0.020664966
w5,8,56,1,7,0,0,-0.154698064,0.154698064,0.017333916
w5,13,53,1,6,5,5,0.152541485,0.152541485,0.016851370
w5,5,29,0,3,5,5,0.150016722,0.150016722,0.016294135
w5,21,61,2,7,5,5,0.141395106,0.141395106,0.014472186
w5,11,19,1,2,3,3,-0.131992850,0.131992850,0.012615600
w5,13,45,1,5,5,5,-0.130508061,0.130508061,0.012320596
w5,1,9,0,1,1,1,0.130264413,0.130264413,0.012273977
w5,22,54,2,6,6,6,0.128362023,0.128362023,0.011904978
w5,7,39,0,4,7,7,-0.125831041,0.125831041,0.011468809
w5,4,28,0,3,4,4,0.124038587,0.124038587,0.011125180
w5,30,54,3,6,6,6,-0.114505931,0.114505931,0.009492224
w5,39,47,4,5,7,7,0.113876093,0.113876093,0.009366956
w5,38,54,4,6,6,6,-0.111506784,0.111506784,0.008995975
w5,28,60,3,7,4,4,-0.110005740,0.110005740,0.008747728
w5,37,45,4,5,5,5,0.109161742,0.109161742,0.008612666
w5,31,63,3,7,7,7,0.106658286,0.106658286,0.008216120
