compare,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,delta_abs_pearson,delta_mi_bits,label_abs_pearson,base_abs_pearson,label_mi_bits,base_mi_bits
w10_minus_w5,0,56,0,7,0,0,-0.293161912,-0.109780785,0.105339470,0.398501382,0.008019086,0.117799871
w10_minus_w5,10,42,1,5,2,2,0.133264657,0.109742319,0.581496449,0.448231792,0.259181138,0.149438818
w11_minus_w5,16,56,2,7,0,0,-0.064494857,-0.109011861,0.789470524,0.853965380,0.515141086,0.624152947
w10_minus_w5,14,22,1,2,6,6,0.053416449,0.108961784,0.770093297,0.716676848,0.548354120,0.439392337
w10_minus_w5,3,11,0,1,3,3,0.208731287,0.107611504,0.446032709,0.237301422,0.148554500,0.040942995
w10_minus_w5,0,8,0,1,0,0,0.068612585,0.106933273,0.824553783,0.755941198,0.571858768,0.464925495
w10_minus_w5,29,37,3,4,5,5,-0.332353273,-0.104823455,0.046887338,0.379240611,0.001586409,0.106409865
w11_minus_w5,44,52,5,6,4,4,-0.060524173,-0.103119465,0.796883050,0.857407223,0.526096246,0.629215710
w11_minus_w5,27,51,3,6,3,3,-0.047052776,-0.102644510,0.839247389,0.886300164,0.610166403,0.712810913
w10_minus_w5,35,43,4,5,3,3,0.144711534,0.102049338,0.525542919,0.380831385,0.209229192,0.107179854
w10_minus_w5,18,26,2,3,2,2,0.106051731,0.100192426,0.630761374,0.524709643,0.308151657,0.207959231
w10_minus_w5,8,24,1,3,0,0,0.074343733,0.099680580,0.765853225,0.691509492,0.479388402,0.379707821
w11_minus_w5,19,59,2,7,3,3,-0.052946283,-0.098887163,0.833439895,0.886386179,0.585164696,0.684051859
w10_minus_w5,10,34,1,4,2,2,0.310951268,0.098656963,0.370611083,0.059659815,0.101223768,0.002566805
w10_minus_w5,9,17,1,2,1,1,-0.309292755,-0.096060429,0.055622526,0.364915281,0.002233060,0.098293489
w11_minus_w5,53,61,6,7,5,5,-0.062774995,-0.094970025,0.744862569,0.807637564,0.450013228,0.544983253
w10_minus_w5,39,63,4,7,7,7,0.104422973,0.094727085,0.607472884,0.503049912,0.287102470,0.192375384
w11_minus_w5,32,56,4,7,0,0,-0.044471770,-0.088884370,0.856857086,0.901328856,0.632251401,0.721135770
w10_minus_w5,6,22,0,2,6,6,-0.044826498,-0.085907272,0.743819607,0.788646105,0.488004657,0.573911929
w10_minus_w5,18,42,2,5,2,2,0.037656736,0.084489687,0.810560509,0.772903773,0.604782474,0.520292787
w11_minus_w5,0,24,0,3,0,0,-0.037110652,-0.084272323,0.898435057,0.935545709,0.710277157,0.794549479
w11_minus_w5,38,46,4,5,6,6,-0.049427166,-0.083726440,0.800991936,0.850419102,0.529722453,0.613448894
w11_minus_w5,29,53,3,6,5,5,0.048854939,0.081598571,0.843803772,0.794948833,0.604689659,0.523091088
w10_minus_w5,20,28,2,3,4,4,-0.236285374,-0.079046094,0.108430079,0.344715454,0.008498895,0.087544989
w10_minus_w5,2,42,0,5,2,2,-0.065073775,-0.078988311,0.664066941,0.729140716,0.345875230,0.424863541
w11_minus_w5,22,62,2,7,6,6,0.039857776,0.078698455,0.897215217,0.857357441,0.702160106,0.623461652
w10_minus_w5,11,19,1,2,3,3,0.218744093,0.078576201,0.350736943,0.131992850,0.091191801,0.012615600
w11_minus_w5,3,43,0,5,3,3,0.030368727,0.077926985,0.932491032,0.902122306,0.794993068,0.717066083
w11_minus_w5,18,58,2,7,2,2,-0.043071114,-0.076949435,0.825434959,0.868506073,0.571188729,0.648138164
w10_minus_w5,27,43,3,5,3,3,0.098389809,0.076762344,0.526959873,0.428570064,0.214102756,0.137340411
w11_minus_w5,35,59,4,7,3,3,0.053459387,0.076715017,0.767387946,0.713928558,0.488712438,0.411997421
w11_minus_w5,7,31,0,3,7,7,0.044984921,0.074929551,0.785209306,0.740224385,0.535466875,0.460537324
w11_minus_w5,14,22,1,2,6,6,0.045053078,0.074495075,0.761729926,0.716676848,0.513887411,0.439392337
w11_minus_w5,45,53,5,6,5,5,-0.060646898,-0.073733380,0.656169037,0.716815934,0.337889329,0.411622709
w11_minus_w5,3,59,0,7,3,3,-0.049625681,-0.073424570,0.729892713,0.779518394,0.437870520,0.511295090
w11_minus_w5,1,41,0,5,1,1,0.039177002,0.072785712,0.875227120,0.836050118,0.663941794,0.591156081
w10_minus_w5,41,49,5,6,1,1,0.240489321,0.072255156,0.324477701,0.083988380,0.077349577,0.005094422
w11_minus_w5,7,47,0,5,7,7,-0.052949875,-0.071512430,0.709209805,0.762159681,0.400452276,0.471964706
w10_minus_w5,34,58,4,7,2,2,-0.024739348,-0.071135062,0.820291966,0.845031314,0.586532892,0.657667954
w10_minus_w5,34,50,4,6,2,2,0.050831970,0.069860402,0.742102588,0.691270618,0.460824499,0.390964097
w10_minus_w5,26,50,3,6,2,2,0.255353240,0.069284455,0.313133657,0.057780417,0.071692451,0.002407996
w10_minus_w5,2,34,0,4,2,2,0.113504098,0.068838758,0.453799730,0.340295632,0.153738165,0.084899407
w10_minus_w5,15,39,1,4,7,7,-0.009130951,-0.067926214,0.839243962,0.848374913,0.595087203,0.663013417
w11_minus_w5,12,36,1,4,4,4,0.033475272,0.066242063,0.885716849,0.852241577,0.687845617,0.621603554
w11_minus_w5,18,42,2,5,2,2,0.023552836,0.064579407,0.796456609,0.772903773,0.584872194,0.520292787
w11_minus_w5,16,24,2,3,0,0,0.058697769,0.064123494,0.668065497,0.609367728,0.351659880,0.287536386
w11_minus_w5,20,60,2,7,4,4,0.041084464,0.063026729,0.806643761,0.765559297,0.541629379,0.478602651
w11_minus_w5,48,56,6,7,0,0,0.038957343,0.062595483,0.826034090,0.787076747,0.573398401,0.510802918
