label,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,pearson_r,abs_pearson_r,mi_bits
w11,18,42,2,5,2,2,-0.796456609,0.796456609,0.584872194
w11,19,43,2,5,3,3,-0.823983422,0.823983422,0.582663776
w11,18,34,2,4,2,2,-0.790191631,0.790191631,0.576045905
w11,14,62,1,7,6,6,-0.788624165,0.788624165,0.573838100
w11,48,56,6,7,0,0,0.826034090,0.826034090,0.573398401
w11,26,42,3,5,2,2,-0.799814279,0.799814279,0.572125235
w11,18,58,2,7,2,2,0.825434959,0.825434959,0.571188729
w11,6,62,0,7,6,6,-0.783935565,0.783935565,0.567269561
w11,14,30,1,3,6,6,-0.782410296,0.782410296,0.565205948
w11,6,22,0,2,6,6,-0.780842354,0.780842354,0.563003980
w11,20,60,2,7,4,4,0.806643761,0.806643761,0.541629379
w11,7,31,0,3,7,7,-0.785209306,0.785209306,0.535466875
w11,38,46,4,5,6,6,0.800991936,0.800991936,0.529722453
w11,44,52,5,6,4,4,0.796883050,0.796883050,0.526096246
w11,16,56,2,7,0,0,0.789470524,0.789470524,0.515141086
w11,14,22,1,2,6,6,-0.761729926,0.761729926,0.513887411
w11,5,37,0,4,5,5,0.787491108,0.787491108,0.512043759
w11,0,8,0,1,0,0,0.787247233,0.787247233,0.511312077
w11,40,56,5,7,0,0,-0.781779788,0.781779788,0.503512635
w11,22,30,2,3,6,6,0.778413319,0.778413319,0.493860110
w11,35,59,4,7,3,3,-0.767387946,0.767387946,0.488712438
w11,25,57,3,7,1,1,0.767433766,0.767433766,0.481240749
w11,4,20,0,2,4,4,-0.765287725,0.765287725,0.480269475
w11,5,13,0,1,5,5,-0.760971520,0.760971520,0.473460359
w11,46,62,5,7,6,6,-0.745260168,0.745260168,0.472708686
w11,2,10,0,1,2,2,0.762049547,0.762049547,0.469362669
w11,14,38,1,4,6,6,0.759520138,0.759520138,0.467406013
w11,1,57,0,7,1,1,-0.751127978,0.751127978,0.459249356
w11,53,61,6,7,5,5,-0.744862569,0.744862569,0.450013228
w11,17,49,2,6,1,1,0.740309510,0.740309510,0.443060890
w11,3,59,0,7,3,3,-0.729892713,0.729892713,0.437870520
w11,10,26,1,3,2,2,-0.710172133,0.710172133,0.424070285
w11,6,30,0,3,6,6,-0.698385626,0.698385626,0.411065364
w11,34,50,4,6,2,2,-0.702531047,0.702531047,0.409293842
w11,28,36,3,4,4,4,0.714703610,0.714703610,0.408753530
w11,50,58,6,7,2,2,0.710782700,0.710782700,0.402147483
w11,7,47,0,5,7,7,0.709209805,0.709209805,0.400452276
w11,12,20,1,2,4,4,0.706848775,0.706848775,0.398655960
w11,2,42,0,5,2,2,0.699696210,0.699696210,0.387276510
w11,8,24,1,3,0,0,-0.685741101,0.685741101,0.372729662
w11,7,55,0,6,7,7,0.685386715,0.685386715,0.370787123
w11,32,48,4,6,0,0,-0.682990149,0.682990149,0.370152688
w11,24,40,3,5,0,0,-0.675939844,0.675939844,0.360952758
w11,28,52,3,6,4,4,-0.672908697,0.672908697,0.357895667
w11,16,24,2,3,0,0,0.668065497,0.668065497,0.351659880
w11,43,59,5,7,3,3,-0.656280939,0.656280939,0.340180108
w11,9,25,1,3,1,1,-0.655616560,0.655616560,0.338004782
w11,45,53,5,6,5,5,0.656169037,0.656169037,0.337889329
w11,34,42,4,5,2,2,0.652552362,0.652552362,0.331937127
w11,42,58,5,7,2,2,-0.639863362,0.639863362,0.326201163
w11,25,41,3,5,1,1,-0.643067300,0.643067300,0.323525295
w11,47,63,5,7,7,7,-0.633073667,0.633073667,0.316142218
w11,30,46,3,5,6,6,-0.628141066,0.628141066,0.315911624
w11,6,14,0,1,6,6,0.620368962,0.620368962,0.296211008
w11,23,39,2,4,7,7,-0.611862314,0.611862314,0.294211875
w11,16,48,2,6,0,0,0.615617762,0.615617762,0.294118841
w11,40,48,5,6,0,0,-0.607930253,0.607930253,0.286263556
w11,19,35,2,4,3,3,-0.602149254,0.602149254,0.282590092
w11,24,32,3,4,0,0,-0.602149417,0.602149417,0.280437150
w11,12,28,1,3,4,4,-0.601058123,0.601058123,0.279648698
w11,15,55,1,6,7,7,0.600707791,0.600707791,0.277782343
w11,20,36,2,4,4,4,-0.592742734,0.592742734,0.271191264
w11,29,61,3,7,5,5,0.588165073,0.588165073,0.266482673
w11,23,47,2,5,7,7,-0.572543887,0.572543887,0.254455308
w11,18,26,2,3,2,2,0.576627958,0.576627958,0.253689060
w11,0,40,0,5,0,0,0.574314839,0.574314839,0.253146945
w11,9,49,1,6,1,1,0.572469748,0.572469748,0.251440791
w11,0,16,0,2,0,0,-0.566458376,0.566458376,0.245787316
w11,14,46,1,5,6,6,0.559034089,0.559034089,0.237523282
w11,39,63,4,7,7,7,-0.546709195,0.546709195,0.229757375
w11,15,31,1,3,7,7,-0.535224982,0.535224982,0.221000645
w11,2,18,0,2,2,2,-0.527019165,0.527019165,0.215967519
w11,18,50,2,6,2,2,0.533074724,0.533074724,0.214696006
w11,1,25,0,3,1,1,-0.518966108,0.518966108,0.204373128
w11,1,17,0,2,1,1,-0.516173868,0.516173868,0.201897930
w11,12,60,1,7,4,4,0.513540493,0.513540493,0.199605244
w11,0,32,0,4,0,0,0.500416000,0.500416000,0.189122464
w11,29,45,3,5,5,5,-0.500074417,0.500074417,0.188793470
w11,31,47,3,5,7,7,-0.489529326,0.489529326,0.181978084
w11,3,35,0,4,3,3,0.479890381,0.479890381,0.172802414
w11,9,33,1,4,1,1,-0.473604253,0.473604253,0.168597610
w11,4,12,0,1,4,4,-0.471871051,0.471871051,0.167341782
w11,28,44,3,5,4,4,-0.469298737,0.469298737,0.165359828
w11,4,44,0,5,4,4,0.461005047,0.461005047,0.159265857
w11,10,42,1,5,2,2,0.462123166,0.462123166,0.159220236
w11,24,56,3,7,0,0,0.456913023,0.456913023,0.156314922
w11,26,34,3,4,2,2,-0.453668060,0.453668060,0.156011142
w11,27,43,3,5,3,3,-0.445942036,0.445942036,0.149138246
w11,39,55,4,6,7,7,-0.445044386,0.445044386,0.148854650
w11,15,23,1,2,7,7,0.430289025,0.430289025,0.137500662
w11,9,57,1,7,1,1,-0.422656489,0.422656489,0.133072607
w11,44,60,5,7,4,4,-0.418095112,0.418095112,0.130062770
w11,35,43,4,5,3,3,0.412634190,0.412634190,0.126447941
w11,26,58,3,7,2,2,0.403510369,0.403510369,0.120497037
w11,36,60,4,7,4,4,-0.398860566,0.398860566,0.118045579
w11,47,55,5,6,7,7,0.395284822,0.395284822,0.115616259
w11,17,41,2,5,1,1,-0.390700585,0.390700585,0.113104665
w11,36,52,4,6,4,4,-0.387138015,0.387138015,0.111017824
w11,5,45,0,5,5,5,0.383337850,0.383337850,0.108796879
w11,3,27,0,3,3,3,-0.382056069,0.382056069,0.108610260
w11,15,63,1,7,7,7,0.368656437,0.368656437,0.100134584
w11,8,40,1,5,0,0,0.361280084,0.361280084,0.096313347
w11,13,29,1,3,5,5,-0.357712349,0.357712349,0.094394089
w11,0,56,0,7,0,0,-0.355398856,0.355398856,0.093130732
w11,42,50,5,6,2,2,-0.353805740,0.353805740,0.092997370
w11,4,36,0,4,4,4,0.355033060,0.355033060,0.092916240
w11,1,33,0,4,1,1,0.354986486,0.354986486,0.092888956
w11,8,16,1,2,0,0,-0.353497031,0.353497031,0.092116732
w11,11,43,1,5,3,3,0.351801887,0.351801887,0.091132360
w11,31,39,3,4,7,7,0.351593952,0.351593952,0.090916048
w11,2,34,0,4,2,2,0.351094528,0.351094528,0.090435745
w11,7,63,0,7,7,7,-0.345717485,0.345717485,0.088481548
w11,2,58,0,7,2,2,-0.342868595,0.342868595,0.087134858
w11,29,37,3,4,5,5,0.330124311,0.330124311,0.080109840
w11,46,54,5,6,6,6,-0.319929675,0.319929675,0.075489223
w11,35,51,4,6,3,3,-0.313475379,0.313475379,0.072192324
w11,9,17,1,2,1,1,0.312332579,0.312332579,0.071554309
w11,20,28,2,3,4,4,-0.307982548,0.307982548,0.069589662
w11,21,45,2,5,5,5,-0.304562509,0.304562509,0.067982000
w11,9,41,1,5,1,1,0.296867260,0.296867260,0.064540600
w11,5,61,0,7,5,5,-0.294596876,0.294596876,0.063533423
w11,10,18,1,2,2,2,-0.290327583,0.290327583,0.062248397
w11,8,32,1,4,0,0,0.286963323,0.286963323,0.060241177
w11,7,23,0,2,7,7,-0.285184256,0.285184256,0.059784807
w11,7,15,0,1,7,7,0.283483211,0.283483211,0.058588369
w11,24,48,3,6,0,0,0.283000703,0.283000703,0.058564389
w11,3,11,0,1,3,3,0.281007962,0.281007962,0.057637875
w11,43,51,5,6,3,3,0.274238081,0.274238081,0.054926223
w11,12,52,1,6,4,4,0.271263802,0.271263802,0.053745952
w11,17,57,2,7,1,1,0.265441480,0.265441480,0.051436290
w11,6,54,0,6,6,6,-0.260538289,0.260538289,0.049770676
w11,4,52,0,6,4,4,0.257524600,0.257524600,0.048377170
w11,19,27,2,3,3,3,0.256190984,0.256190984,0.047813896
w11,1,49,0,6,1,1,-0.255902142,0.255902142,0.047768415
w11,11,35,1,4,3,3,-0.237097923,0.237097923,0.041004261
w11,33,41,4,5,1,1,0.230449864,0.230449864,0.038654959
w11,25,49,3,6,1,1,-0.226623037,0.226623037,0.037371498
w11,20,44,2,5,4,4,-0.224857527,0.224857527,0.036788607
w11,21,61,2,7,5,5,0.217155452,0.217155452,0.034292483
w11,52,60,6,7,4,4,-0.215070871,0.215070871,0.033630686
w11,3,51,0,6,3,3,0.204629071,0.204629071,0.030398523
w11,13,53,1,6,5,5,0.201796121,0.201796121,0.029582353
w11,21,29,2,3,5,5,-0.195341261,0.195341261,0.027703326
w11,36,44,4,5,4,4,-0.183765205,0.183765205,0.024499709
w11,0,48,0,6,0,0,-0.181495186,0.181495186,0.023892882
w11,10,50,1,6,2,2,0.180689468,0.180689468,0.023617014
w11,11,19,1,2,3,3,-0.177062465,0.177062465,0.022763687
w11,37,53,4,6,5,5,-0.174016555,0.174016555,0.021956266
w11,1,9,0,1,1,1,0.171345249,0.171345249,0.021280390
w11,37,45,4,5,5,5,0.169720931,0.169720931,0.020878499
w11,39,47,4,5,7,7,0.159909219,0.159909219,0.018508063
w11,8,56,1,7,0,0,-0.142905399,0.142905399,0.014782822
w11,13,45,1,5,5,5,-0.141943303,0.141943303,0.014581049
w11,27,35,3,4,3,3,0.141002010,0.141002010,0.014379644
w11,7,39,0,4,7,7,-0.133157508,0.133157508,0.012847342
w11,22,54,2,6,6,6,0.131989241,0.131989241,0.012588257
w11,41,49,5,6,1,1,-0.130852994,0.130852994,0.012386754
w11,25,33,3,4,1,1,0.126161937,0.126161937,0.011510664
w11,38,54,4,6,6,6,-0.120381967,0.120381967,0.010491260
w11,5,29,0,3,5,5,0.117171495,0.117171495,0.009926256
w11,14,54,1,6,6,6,0.117201772,0.117201772,0.009919038
w11,28,60,3,7,4,4,-0.113877679,0.113877679,0.009375711
w11,10,34,1,4,2,2,0.112924306,0.112924306,0.009201025
w11,26,50,3,6,2,2,0.111573833,0.111573833,0.008985555
