label,source,window_index,packet_start,packet_end,packets,phase_diff_mean_ps,phase_diff_std_ps,phase_diff_autocorr_lag1,raw_diff_entropy,raw_same_diff_transition_ratio,raw_longest_same_diff_bin_run
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,33.0469042,1349.84286,0.00214989522,5.88785987,0.0166056166,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,2,8192,12287,4096,52.0070265,1355.49863,0.0153547808,5.86456664,0.0195360195,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,3,12288,16383,4096,50.1777827,1353.63578,0.0129232981,5.87951768,0.019047619,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,4,16384,20479,4096,8.55094637,1346.95525,-0.0094141757,5.89223424,0.0207570208,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,5,20480,24575,4096,64.0613812,1356.67328,0.00135835293,5.87336365,0.0207570208,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,6,24576,28671,4096,19.5126363,1356.31131,-0.0369621662,5.87027482,0.0192918193,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,26.9843342,1356.5305,-0.0275881321,5.86321172,0.022954823,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,-28.0404766,1360.46635,0.00396240733,5.92215473,0.0163614164,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,-39.9042639,1370.26347,0.00145939853,5.92845902,0.0161172161,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,-12.2220745,1343.27885,-0.00836935348,5.9274675,0.0146520147,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,6.1438559,1357.63148,0.0125093214,5.91628409,0.0192918193,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,-17.9785429,1368.86216,-0.00831423505,5.91163971,0.0212454212,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,-72.0131403,1367.36819,0.0198853429,5.91926465,0.0166056166,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,-13.6836219,1363.81729,-0.00779522981,5.90645057,0.0148962149,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,-31.5533722,1350.26051,0.00512631285,5.93371274,0.0163614164,3
