warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,overall_p1,row_ones_std,worst_byte_index,worst_bit_index,worst_x,worst_p1,worst_msb_expanded_column,worst_lsb_expanded_column,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_after_vccint_v,restart_input_sha256
10,passband01,lsb,passed,0.999451,572,565,0.499174,16.268673086641087,115,3,565,0.435000000,924,923,ok,47.7,47.5,1.000,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192
10,passband01,msb,passed,0.999451,572,565,0.499174,16.268673086641087,115,3,565,0.435000000,924,923,ok,47.7,47.5,1.000,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192
10,repeat02,lsb,passed,0.999451,572,554,0.500018,15.953108662577336,14,1,547,0.453000000,118,113,ok,47.4,47.1,1.000,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371
10,repeat02,msb,passed,0.999451,572,554,0.500018,15.953108662577336,14,1,547,0.453000000,118,113,ok,47.4,47.1,1.000,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371
11,edge01,lsb,failed,0.999451,572,688,0.55921,32.52029981411611,81,4,613,0.613000000,651,652,ok,47.5,47.6,1.000,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3
11,edge01,msb,failed,0.999451,572,688,0.55921,32.52029981411611,81,4,613,0.613000000,651,652,ok,47.5,47.6,1.000,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3
11,repeat02,lsb,failed,0.999451,572,701,0.558805,32.88894913188928,57,2,618,0.618000000,461,458,ok,46.6,46.4,1.000,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864
11,repeat02,msb,failed,0.999451,572,701,0.558805,32.88894913188928,57,2,618,0.618000000,461,458,ok,46.6,46.4,1.000,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864
12,run01,lsb,failed,0.999451,572,609,0.452171,15.544508966191245,2,7,609,0.391000000,16,23,ok,47.6,47.6,1.001,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956
12,run01,msb,failed,0.999451,572,609,0.452171,15.544508966191245,2,7,609,0.391000000,16,23,ok,47.6,47.6,1.001,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956
12,run02,lsb,failed,0.999451,572,601,0.453785,16.729099647022252,6,1,601,0.399000000,54,49,ok,47.4,46.9,1.000,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13
12,run02,msb,failed,0.999451,572,601,0.453785,16.729099647022252,6,1,601,0.399000000,54,49,ok,47.4,46.9,1.000,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13
16,sweep01,lsb,failed,0.999451,572,586,0.466933,15.666221975958338,60,3,586,0.414000000,484,483,ok,47.5,47.5,1.000,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78
16,sweep01,msb,failed,0.999451,572,586,0.466933,15.666221975958338,60,3,586,0.414000000,484,483,ok,47.5,47.5,1.000,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78
