byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
21,5,368,632,0.368000000,632,170,173
21,6,375,625,0.375000000,625,169,174
21,7,416,584,0.416000000,584,168,175
22,0,367,633,0.367000000,633,183,176
22,1,357,643,0.357000000,643,182,177
22,2,401,599,0.401000000,599,181,178
22,3,397,603,0.397000000,603,180,179
22,4,351,649,0.351000000,649,179,180
22,5,385,615,0.385000000,615,178,181
22,6,351,649,0.351000000,649,177,182
22,7,410,590,0.410000000,590,176,183
23,0,381,619,0.381000000,619,191,184
23,1,367,633,0.367000000,633,190,185
23,2,386,614,0.386000000,614,189,186
23,3,376,624,0.376000000,624,188,187
23,4,375,625,0.375000000,625,187,188
23,5,404,596,0.404000000,596,186,189
23,6,350,650,0.350000000,650,185,190
23,7,395,605,0.395000000,605,184,191
24,0,336,664,0.336000000,664,199,192
24,1,348,652,0.348000000,652,198,193
24,2,395,605,0.395000000,605,197,194
24,3,374,626,0.374000000,626,196,195
24,4,363,637,0.363000000,637,195,196
24,5,363,637,0.363000000,637,194,197
24,6,367,633,0.367000000,633,193,198
24,7,410,590,0.410000000,590,192,199
25,0,382,618,0.382000000,618,207,200
25,1,387,613,0.387000000,613,206,201
25,2,376,624,0.376000000,624,205,202
25,3,351,649,0.351000000,649,204,203
25,4,372,628,0.372000000,628,203,204
25,5,361,639,0.361000000,639,202,205
25,6,354,646,0.354000000,646,201,206
25,7,364,636,0.364000000,636,200,207
26,0,371,629,0.371000000,629,215,208
26,1,374,626,0.374000000,626,214,209
26,2,357,643,0.357000000,643,213,210
26,3,361,639,0.361000000,639,212,211
26,4,380,620,0.380000000,620,211,212
26,5,384,616,0.384000000,616,210,213
26,6,337,663,0.337000000,663,209,214
26,7,391,609,0.391000000,609,208,215
27,0,341,659,0.341000000,659,223,216
27,1,385,615,0.385000000,615,222,217
27,2,356,644,0.356000000,644,221,218
27,3,364,636,0.364000000,636,220,219
27,4,378,622,0.378000000,622,219,220
27,5,368,632,0.368000000,632,218,221
27,6,358,642,0.358000000,642,217,222
27,7,370,630,0.370000000,630,216,223
28,0,379,621,0.379000000,621,231,224
28,1,366,634,0.366000000,634,230,225
28,2,349,651,0.349000000,651,229,226
28,3,349,651,0.349000000,651,228,227
28,4,365,635,0.365000000,635,227,228
28,5,372,628,0.372000000,628,226,229
28,6,347,653,0.347000000,653,225,230
28,7,361,639,0.361000000,639,224,231
29,0,369,631,0.369000000,631,239,232
29,1,360,640,0.360000000,640,238,233
29,2,370,630,0.370000000,630,237,234
29,3,353,647,0.353000000,647,236,235
29,4,384,616,0.384000000,616,235,236
29,5,362,638,0.362000000,638,234,237
29,6,363,637,0.363000000,637,233,238
29,7,387,613,0.387000000,613,232,239
30,0,368,632,0.368000000,632,247,240
30,1,366,634,0.366000000,634,246,241
30,2,378,622,0.378000000,622,245,242
30,3,376,624,0.376000000,624,244,243
30,4,381,619,0.381000000,619,243,244
30,5,391,609,0.391000000,609,242,245
30,6,325,675,0.325000000,675,241,246
30,7,359,641,0.359000000,641,240,247
31,0,387,613,0.387000000,613,255,248
31,1,368,632,0.368000000,632,254,249
31,2,400,600,0.400000000,600,253,250
31,3,353,647,0.353000000,647,252,251
31,4,384,616,0.384000000,616,251,252
31,5,364,636,0.364000000,636,250,253
31,6,388,612,0.388000000,612,249,254
31,7,369,631,0.369000000,631,248,255
32,0,348,652,0.348000000,652,263,256
32,1,396,604,0.396000000,604,262,257
32,2,389,611,0.389000000,611,261,258
32,3,371,629,0.371000000,629,260,259
32,4,375,625,0.375000000,625,259,260
32,5,366,634,0.366000000,634,258,261
32,6,386,614,0.386000000,614,257,262
32,7,369,631,0.369000000,631,256,263
33,0,367,633,0.367000000,633,271,264
33,1,347,653,0.347000000,653,270,265
33,2,370,630,0.370000000,630,269,266
33,3,374,626,0.374000000,626,268,267
33,4,380,620,0.380000000,620,267,268
33,5,378,622,0.378000000,622,266,269
33,6,402,598,0.402000000,598,265,270
33,7,386,614,0.386000000,614,264,271
34,0,362,638,0.362000000,638,279,272
34,1,381,619,0.381000000,619,278,273
34,2,364,636,0.364000000,636,277,274
34,3,366,634,0.366000000,634,276,275
34,4,354,646,0.354000000,646,275,276
34,5,368,632,0.368000000,632,274,277
34,6,383,617,0.383000000,617,273,278
34,7,343,657,0.343000000,657,272,279
35,0,347,653,0.347000000,653,287,280
35,1,366,634,0.366000000,634,286,281
35,2,364,636,0.364000000,636,285,282
35,3,361,639,0.361000000,639,284,283
35,4,397,603,0.397000000,603,283,284
35,5,386,614,0.386000000,614,282,285
35,6,390,610,0.390000000,610,281,286
35,7,362,638,0.362000000,638,280,287
36,0,368,632,0.368000000,632,295,288
36,1,371,629,0.371000000,629,294,289
36,2,392,608,0.392000000,608,293,290
36,3,355,645,0.355000000,645,292,291
36,4,372,628,0.372000000,628,291,292
36,5,368,632,0.368000000,632,290,293
36,6,368,632,0.368000000,632,289,294
36,7,370,630,0.370000000,630,288,295
37,0,376,624,0.376000000,624,303,296
37,1,386,614,0.386000000,614,302,297
37,2,372,628,0.372000000,628,301,298
37,3,376,624,0.376000000,624,300,299
37,4,377,623,0.377000000,623,299,300
37,5,359,641,0.359000000,641,298,301
37,6,406,594,0.406000000,594,297,302
37,7,383,617,0.383000000,617,296,303
38,0,356,644,0.356000000,644,311,304
38,1,388,612,0.388000000,612,310,305
38,2,395,605,0.395000000,605,309,306
38,3,367,633,0.367000000,633,308,307
38,4,367,633,0.367000000,633,307,308
38,5,369,631,0.369000000,631,306,309
38,6,367,633,0.367000000,633,305,310
38,7,368,632,0.368000000,632,304,311
39,0,351,649,0.351000000,649,319,312
39,1,367,633,0.367000000,633,318,313
39,2,372,628,0.372000000,628,317,314
39,3,365,635,0.365000000,635,316,315
39,4,379,621,0.379000000,621,315,316
39,5,381,619,0.381000000,619,314,317
39,6,389,611,0.389000000,611,313,318
