placement,warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,h_r,h_c,min_h,overall_p1,positions_over_x_cutoff,worst_byte_index,worst_bit_index,worst_x,worst_msb_expanded_column,worst_lsb_expanded_column,board_id,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_temperature_delta_c,ea_run,ea_stdout,column_summary,paper_use,row_ones_mean,row_ones_std,worst_ones,worst_zeros,worst_p1,restart_input_file,restart_input_sha256,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,capture_start_time,capture_end_time,capture_output_sha256,capture_metadata
random1_sampler_regs_only,12,run02,lsb,failed,0.999451,572,601,,,,0.453785,0,6,1,601,54,49,z7020_b01,ok,47.4,46.9,-0.5,random1_sampler_regs_only_warmup12_run02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup12_run02_lsb_20260524\random1_sampler_regs_only_warmup12_run02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup12_run02\summary.json,candidate,453.785,16.729099647022252,399,601,0.399000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524.bin,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13,1.000,1.796,1.000,2026-05-24 14:17:49,2026-05-24 14:21:31,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524.metadata.json
random1_sampler_regs_only,12,run02,msb,failed,0.999451,572,601,,,,0.453785,0,6,1,601,54,49,z7020_b01,ok,47.4,46.9,-0.5,random1_sampler_regs_only_warmup12_run02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup12_run02_msb_20260524\random1_sampler_regs_only_warmup12_run02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup12_run02\summary.json,candidate,453.785,16.729099647022252,399,601,0.399000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524.bin,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13,1.000,1.796,1.000,2026-05-24 14:17:49,2026-05-24 14:21:31,3066F431E619358014585635596141C9DF4E2F5593BA994712919418E7CACC13,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524.metadata.json
random1_sampler_regs_only,16,sweep01,lsb,failed,0.999451,572,586,,,,0.466933,0,60,3,586,484,483,z7020_b01,ok,47.5,47.5,0,random1_sampler_regs_only_warmup16_sweep01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup16_sweep01_lsb_20260524\random1_sampler_regs_only_warmup16_sweep01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup16_sweep01\summary.json,candidate,466.933,15.666221975958338,414,586,0.414000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524.bin,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78,1.000,1.797,1.000,2026-05-24 15:09:28,2026-05-24 15:12:34,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524.metadata.json
random1_sampler_regs_only,16,sweep01,msb,failed,0.999451,572,586,,,,0.466933,0,60,3,586,484,483,z7020_b01,ok,47.5,47.5,0,random1_sampler_regs_only_warmup16_sweep01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup16_sweep01_msb_20260524\random1_sampler_regs_only_warmup16_sweep01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup16_sweep01\summary.json,candidate,466.933,15.666221975958338,414,586,0.414000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524.bin,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78,1.000,1.797,1.000,2026-05-24 15:09:28,2026-05-24 15:12:34,D6487168F7301D42FE4A8E808E184310403FDA123183FD21064E536741E60D78,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524.metadata.json
random3,8,run01,lsb,failed,0.828444,632,721,,,,,,,,,,,,,,,,random3_warmup8_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup8_lsb_20260515\random3_warmup8_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,8,run01,msb,failed,0.902345,605,721,,,,,,,,,,,,,,,,random3_warmup8_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup8_msb_20260515\random3_warmup8_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,10,repeat02,lsb,failed,0.828444,632,633,,,,,,,,,,,,,,,,random3_warmup10_repeat02_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat02_lsb_20260515\random3_warmup10_repeat02_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,10,repeat02,msb,failed,0.902345,605,633,,,,,,,,,,,,,,,,random3_warmup10_repeat02_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat02_msb_20260515\random3_warmup10_repeat02_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,10,repeat03_20260522,lsb,failed,0.828444,632,640,,,,,,,,,,,,,,,,random3_warmup10_repeat03_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat03_20260522_lsb_20260515\random3_warmup10_repeat03_20260522_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,10,repeat03_20260522,msb,failed,0.902345,605,640,,,,,,,,,,,,,,,,random3_warmup10_repeat03_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat03_20260522_msb_20260515\random3_warmup10_repeat03_20260522_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,10,run01,lsb,failed,0.828444,632,650,,,,,,,,,,,,,,,,random3_warmup10_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_lsb_20260515\random3_warmup10_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,10,run01,msb,failed,0.902345,605,650,,,,,,,,,,,,,,,,random3_warmup10_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_msb_20260515\random3_warmup10_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,11,repeat02,lsb,passed,0.828444,632,588,0.757162,0.746636,0.746636,,,,,,,,,,,,,random3_warmup11_repeat02_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup11_repeat02_lsb_20260515\random3_warmup11_repeat02_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,11,repeat02,msb,passed,0.902345,605,588,0.772477,0.765014,0.765014,,,,,,,,,,,,,random3_warmup11_repeat02_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup11_repeat02_msb_20260515\random3_warmup11_repeat02_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,11,repeat03_20260522,lsb,passed,0.828444,632,595,0.759914,0.762703,0.759914,,,,,,,,,,,,,random3_warmup11_repeat03_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup11_repeat03_20260522_lsb_20260515\random3_warmup11_repeat03_20260522_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,11,repeat03_20260522,msb,passed,0.902345,605,595,0.754707,0.770799,0.754707,,,,,,,,,,,,,random3_warmup11_repeat03_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup11_repeat03_20260522_msb_20260515\random3_warmup11_repeat03_20260522_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,11,run01,lsb,passed,0.828444,632,583,0.753865,0.759525,0.753865,,,,,,,,,,,,,random3_warmup11_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup11_lsb_20260515\random3_warmup11_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,11,run01,msb,passed,0.902345,605,583,0.743385,0.756293,0.743385,,,,,,,,,,,,,random3_warmup11_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup11_msb_20260515\random3_warmup11_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,12,repeat02,lsb,passed,0.828444,632,556,0.877826,0.883047,0.828444,,,,,,,,,,,,,random3_warmup12_repeat02_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup12_repeat02_lsb_20260515\random3_warmup12_repeat02_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,12,repeat02,msb,passed,0.902345,605,556,0.844203,0.813237,0.813237,,,,,,,,,,,,,random3_warmup12_repeat02_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup12_repeat02_msb_20260515\random3_warmup12_repeat02_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,12,repeat03_20260522,lsb,passed,0.828444,632,556,0.844297,0.885179,0.828444,,,,,,,,,,,,,random3_warmup12_repeat03_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup12_repeat03_20260522_lsb_20260515\random3_warmup12_repeat03_20260522_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,12,repeat03_20260522,msb,passed,0.902345,605,556,0.823278,0.882505,0.823278,,,,,,,,,,,,,random3_warmup12_repeat03_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup12_repeat03_20260522_msb_20260515\random3_warmup12_repeat03_20260522_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,12,run01,lsb,passed,0.828444,632,562,0.866043,0.836130,0.828444,,,,,,,,,,,,,random3_warmup12_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup12_lsb_20260515\random3_warmup12_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,12,run01,msb,passed,0.902345,605,562,0.867146,0.849807,0.849807,,,,,,,,,,,,,random3_warmup12_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup12_msb_20260515\random3_warmup12_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,16,run01,lsb,passed,0.828444,632,549,0.820090,0.830192,0.820090,,,,,,,,,,,,,random3_warmup16_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup16_lsb_20260515\random3_warmup16_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random3,16,run01,msb,passed,0.902345,605,549,0.871037,0.868735,0.868735,,,,,,,,,,,,,random3_warmup16_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup16_msb_20260515\random3_warmup16_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
same_column,0,placement01,lsb,failed,0.834502,629,946,,,,,,,,,,,,,,,,same_column_warmup0_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_same_column_warmup0_placement01_lsb_20260515\same_column_warmup0_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
same_column,0,placement01,msb,failed,0.834068,630,946,,,,,,,,,,,,,,,,same_column_warmup0_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_same_column_warmup0_placement01_msb_20260515\same_column_warmup0_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
same_column,12,placement01,lsb,passed,0.834502,629,559,0.861917,0.837401,0.834502,,,,,,,,,,,,,same_column_warmup12_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_same_column_warmup12_placement01_lsb_20260515\same_column_warmup12_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
same_column,12,placement01,msb,passed,0.834068,630,559,0.795557,0.826468,0.795557,,,,,,,,,,,,,same_column_warmup12_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_same_column_warmup12_placement01_msb_20260515\same_column_warmup12_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
sparse,0,placement01,lsb,failed,0.742313,666,827,,,,,,,,,,,,,,,,sparse_warmup0_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_sparse_warmup0_placement01_lsb_20260515\sparse_warmup0_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
sparse,0,placement01,msb,failed,0.734432,669,827,,,,,,,,,,,,,,,,sparse_warmup0_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_sparse_warmup0_placement01_msb_20260515\sparse_warmup0_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
sparse,12,placement01,lsb,passed,0.742313,666,603,0.706021,0.705935,0.705935,,,,,,,,,,,,,sparse_warmup12_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_sparse_warmup12_placement01_lsb_20260515\sparse_warmup12_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
sparse,12,placement01,msb,passed,0.734432,669,603,0.714726,0.717424,0.714726,,,,,,,,,,,,,sparse_warmup12_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_sparse_warmup12_placement01_msb_20260515\sparse_warmup12_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
