bin,count,probability,width_ps_nominal,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps_nominal,dead_code
23,2631,0.002509119519347686,12.54559759673843,76.92307692307692,-0.8369072312424004,7.184006866461632,2392.496960160218,0
24,14629,0.013951314879717713,69.75657439858857,76.92307692307692,-0.09316453281834869,7.090842333643284,2433.6480461578813,0
25,802,0.000764847531173259,3.8242376558662947,76.92307692307692,-0.9502849104737382,6.140557423169546,2470.438452185109,0
26,1280,0.0012207042891543285,6.1035214457716425,76.92307692307692,-0.9206542212049686,5.219903201964577,2475.402331735928,0
27,401,0.0003824237655866295,1.9121188279331474,76.92307692307692,-0.975142455236869,4.244760746727708,2479.4101518727803,0
28,1715,0.0016355530124216198,8.177765062108099,76.92307692307692,-0.8936890541925947,3.351071692535114,2484.455093817801,0
29,947,0.0009031304389290227,4.515652194645114,76.92307692307692,-0.9412965214696135,2.4097751710655,2490.8018024461776,0
30,1025,0.0009775171065493646,4.887585532746823,76.92307692307692,-0.9364613880742914,1.4733137829912089,2495.5034213098734,0
31,2854,0.002721789094723792,13.60894547361896,76.92307692307692,-0.8230837088429536,0.6502300741482553,2504.7516868130565,0
32,14909,0.014218343942970222,71.09171971485111,76.92307692307692,-0.0758076437069356,0.5744224304413197,2547.102019407291,0
33,185,0.00017642991679183654,0.8821495839591827,76.92307692307692,-0.9885320554085306,-0.41410962496721093,2583.0889540566964,0
34,1184,0.0011291514674677539,5.645757337338769,76.92307692307692,-0.926605154614596,-1.3407147795818068,2586.3529075173456,0
35,261,0.0002489092339603748,1.244546169801874,76.92307692307692,-0.9838208997925756,-2.3245356793743825,2589.7980592709155,0
36,1391,0.0013265622392294304,6.632811196147152,76.92307692307692,-0.9137734544500871,-3.23830913382447,2593.73673795389,0
37,677,0.0006456381279355316,3.2281906396776576,76.92307692307692,-0.9580335216841904,-4.19634265550866,2598.667238871802,0
38,1682,0.0016040817299668598,8.020408649834298,76.92307692307692,-0.8957346875521541,-5.092077343060814,2604.291538516558,0
39,4148,0.003955844837040746,19.779224185203727,76.92307692307692,-0.7428700855923516,-5.834947428653166,2618.191354934077,0
40,13084,0.012477886655699402,62.38943327849701,76.92307692307692,-0.1889373673795388,-6.023884796032704,2659.2756836659273,0
41,667,0.0006361013756765134,3.180506878382567,76.92307692307692,-0.9586534105810266,-6.982538206613731,2692.0606537443673,0
42,3343,0.0031881362801897814,15.940681400948908,76.92307692307692,-0.7927711417876642,-7.775309348401396,2701.621247884033,0
43,3014,0.002874377130868083,14.371885654340414,76.92307692307692,-0.8131654864935747,-8.58847483489497,2716.7775314116775,0
44,2064,0.0019683856662613547,9.841928331306773,76.92307692307692,-0.872054931693012,-9.460529766587982,2728.8844384045015,0
45,0,0.0,0.0,76.92307692307692,-1.0,-10.460529766587982,2733.805402570155,1
46,2263,0.0021581670362158167,10.790835181079084,76.92307692307692,-0.8597191426459719,-11.320248909233953,2739.2008201606945,0
47,3347,0.0031919509810933886,15.959754905466943,76.92307692307692,-0.7925231862289297,-12.112772095462883,2752.5761152039677,0
48,7565,0.007214553083947262,36.07276541973631,76.92307692307692,-0.5310540495434279,-12.643826145006312,2778.5923753665693,0
49,45,4.291538516558186e-05,0.2145769258279093,76.92307692307692,-0.9972104999642372,-13.64103664497055,2796.7360465393513,0
50,2723,0.0025968576401306535,12.984288200653268,76.92307692307692,-0.8312042533915075,-14.472240898362058,2803.3354791025918,0
51,3038,0.0028972653362897265,14.486326681448633,76.92307692307692,-0.8116777531411677,-15.283918651503226,2817.0707865436425,0
52,6529,0.006226545549912977,31.132727749564886,76.92307692307692,-0.5952745392556564,-15.879193190758883,2839.8803137591494,0
53,59,5.626683832820733e-05,0.2813341916410366,76.92307692307692,-0.9963426555086665,-16.87553584626755,2855.587344729752,0
54,3552,0.0033874544024032616,16.937272012016308,76.92307692307692,-0.779815463843788,-17.65535131011134,2864.1966478315812,0
55,2473,0.0023584388336551987,11.792194168275994,76.92307692307692,-0.8467014758124121,-18.502052785923752,2878.5613809217275,0
56,4198,0.004003528598335837,20.017642991679185,76.92307692307692,-0.7397706411081706,-19.24182342703192,2894.466299501705,0
57,324,0.0003089907731921894,1.544953865960947,76.92307692307692,-0.9799155997425076,-20.22173902677443,2905.2475979305254,0
58,3905,0.0037241017571466037,18.62050878573302,76.92307692307692,-0.7579333857854708,-20.9796724125599,2915.3303292563724,0
59,2130,0.0020313282311708748,10.156641155854373,76.92307692307692,-0.8679636649738931,-21.847636077533792,2929.7189042271657,0
60,4077,0.0038881338960017166,19.440669480008584,76.92307692307692,-0.7472712967598885,-22.59490737429368,2944.517559545097,0
61,4181,0.003987316119495506,19.93658059747753,76.92307692307692,-0.740824452232792,-23.335731826526473,2964.2061845838402,0
62,1919,0.001830102758505591,9.150513792527954,76.92307692307692,-0.8810433206971366,-24.21677514722361,2978.749731778843,0
63,22,2.098085496984002e-05,0.1049042748492001,76.92307692307692,-0.9986362444269604,-25.215411391650573,2983.3774408125314,0
64,422905,0.4033140214100088,2016.570107050044,76.92307692307692,25.215411391650573,0.0,3991.714946474978,0
