bin,count,probability,width_ps_nominal,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps_nominal,dead_code
16,2023,0.007717162006996181,38.5858100349809,76.92307692307692,-0.4983844695452482,11.685316792742894,2187.2699251935014,0
17,320,0.0012207077816306366,6.103538908153183,76.92307692307692,-0.9206539941940086,10.764662798548885,2209.614599665069,0
18,917,0.003498090736735293,17.490453683676467,76.92307692307692,-0.772624102112206,9.99203869643668,2221.4115959609835,0
19,1080,0.004119888763003399,20.599443815016993,76.92307692307692,-0.7322072304047791,9.259831466031901,2240.4565447103305,0
20,866,0.0033035404340379104,16.51770217018955,76.92307692307692,-0.7852698717875358,8.474561594244365,2259.0151177029334,0
21,255,0.0009727515134869136,4.863757567434568,76.92307692307692,-0.9367711516233506,7.537790442621015,2269.705847571746,0
22,1123,0.0042839213711600155,21.419606855800076,76.92307692307692,-0.7215451108745989,6.816245331746416,2282.8475297833634,0
23,1129,0.00430680964206559,21.53404821032795,76.92307692307692,-0.7200573732657367,6.096187958480678,2304.3243573164273,0
24,1676,0.006393457006290459,31.9672850314523,76.92307692307692,-0.5844252945911201,5.5117626638895585,2331.075023937317,0
25,80,0.00030517694540765916,1.5258847270382958,76.92307692307692,-0.9801634985485022,4.531599165341056,2347.8216088165623,0
26,1107,0.004222885982078484,21.114429910392417,76.92307692307692,-0.7255124111648985,3.8060867541761576,2359.141766135278,0
27,764,0.002914439828643145,14.572199143215725,76.92307692307692,-0.8105614111381956,2.9955253430379623,2376.985080662082,0
28,3527,0.013454488580660173,67.27244290330087,76.92307692307692,-0.12545824225708868,2.8700671007808736,2417.90740168534,0
29,14,5.340596544634035e-05,0.26702982723170177,76.92307692307692,-0.9965286122459879,1.8735384885348858,2451.6771380506066,0
30,1503,0.0057335118618463965,28.667559309231983,76.92307692307692,-0.6273217289799842,1.2462167595549016,2466.144432618839,0
31,1037,0.003955856154846782,19.77928077423391,76.92307692307692,-0.7428693499349592,0.5033474096199424,2490.3678526605713,0
32,251,0.0009574926662165306,4.7874633310826535,76.92307692307692,-0.9377629766959255,-0.43441556707598306,2502.65122471323,0
33,62,0.00023651213269093585,1.1825606634546793,76.92307692307692,-0.9846267113750892,-1.4190422784510721,2505.6362367104985,0
34,1799,0.006862666559854735,34.313332799273674,76.92307692307692,-0.5539266736094421,-1.9729689520605143,2523.3841834418627,0
35,891,0.003398908229477804,16.994541147389018,76.92307692307692,-0.7790709650839427,-2.752039917144457,2549.038120415194,0
36,3521,0.013431600309754599,67.158001548773,76.92307692307692,-0.12694597986595102,-2.8789858970104083,2591.1143917632753,0
37,84,0.0003204357926780421,1.6021789633902106,76.92307692307692,-0.9791716734759273,-3.858157570486336,2625.494482019357,0
38,1207,0.004604357163838058,23.02178581919029,76.92307692307692,-0.7007167843505262,-4.5588743548368615,2637.8064644106466,0
39,938,0.0035781996849048037,17.890998424524017,76.92307692307692,-0.7674170204811878,-5.326291375318049,2658.262856532504,0
