source,source_sha256,source_bytes,offset_bytes,read_bytes,mode,bits_per_symbol,output,output_bytes,output_sha256
data\hardware\20260511_fpga1_board1\trng\same_column_run01.bin,c7d7d252a804d8ff652ba76815fa59367abe02bc7eec39bffb00faa45d14e9e5,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\same_column_run01_bps1_msb.bin,8000000,f3644fb552807e3b1714098b58dafe48f0db4b1a2a1567673df14d72e56b3fee
data\hardware\20260511_fpga1_board1\trng\same_column_run01.bin,c7d7d252a804d8ff652ba76815fa59367abe02bc7eec39bffb00faa45d14e9e5,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\same_column_run01_bps1_lsb.bin,8000000,65c313417ee8ebb46db46dae6bc016466ba2b851be69c4389bc802569aec1ead
data\hardware\20260511_fpga1_board1\trng\same_column_run01.bin,c7d7d252a804d8ff652ba76815fa59367abe02bc7eec39bffb00faa45d14e9e5,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\same_column_run01_bps8.bin,1000000,f847548f1f6f41916b2aa63b3ff322025669ad554d08e461819cad67145125de
data\hardware\20260511_fpga1_board1\trng\checker_run01.bin,9ad7fb0641a2790c8ffaa9aa35cc2c4626cf9b765a0558588d681c36323db3a1,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\checker_run01_bps1_msb.bin,8000000,024dd0d77d345fdf4ca2a197060b937185c12356d0b79db46be99804bac4dde7
data\hardware\20260511_fpga1_board1\trng\checker_run01.bin,9ad7fb0641a2790c8ffaa9aa35cc2c4626cf9b765a0558588d681c36323db3a1,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\checker_run01_bps1_lsb.bin,8000000,adca57ee74a3a639a8627c0835c4f21a89020bc025241c24a01d6bb05bfac2a6
data\hardware\20260511_fpga1_board1\trng\checker_run01.bin,9ad7fb0641a2790c8ffaa9aa35cc2c4626cf9b765a0558588d681c36323db3a1,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\checker_run01_bps8.bin,1000000,ff37d86de0f62c982c62bee6af138a4fbcf5d2df7a0fcac7ccd774704e919e88
data\hardware\20260511_fpga1_board1\trng\far_run01.bin,863885f73eedfdf58444d4705ceed0260f9baa3d883410d82ba5f4ae95161732,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\far_run01_bps1_msb.bin,8000000,9b58b1f6421b1cd46c4dc7e8f70ca81aad7e10a639171ecbd18e952bc50934e4
data\hardware\20260511_fpga1_board1\trng\far_run01.bin,863885f73eedfdf58444d4705ceed0260f9baa3d883410d82ba5f4ae95161732,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\far_run01_bps1_lsb.bin,8000000,55602de0f8421944ef403dfe1a07647d7675edb9cc16e6ec72476a65fa08c552
data\hardware\20260511_fpga1_board1\trng\far_run01.bin,863885f73eedfdf58444d4705ceed0260f9baa3d883410d82ba5f4ae95161732,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\far_run01_bps8.bin,1000000,b96e76c7b58d72da7286bcd4a7156c33eac8266ceec8b8c6a514dd1ca11bad8e
data\hardware\20260511_fpga1_board1\trng\cross_region_run02.bin,f21cf761ef2074b8ba0e6e5b3c811fe320cfd26fcf1f8ec76be4aa4315890215,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\cross_region_run02_bps1_msb.bin,8000000,6159ab08332a92c734a7bdeec115d8b230469378179a82eb109264638ccadc80
data\hardware\20260511_fpga1_board1\trng\cross_region_run02.bin,f21cf761ef2074b8ba0e6e5b3c811fe320cfd26fcf1f8ec76be4aa4315890215,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\cross_region_run02_bps1_lsb.bin,8000000,13345dbd7e3a7403365c8bdef00f5308cc719e6c3007357716d33665540e9b96
data\hardware\20260511_fpga1_board1\trng\cross_region_run02.bin,f21cf761ef2074b8ba0e6e5b3c811fe320cfd26fcf1f8ec76be4aa4315890215,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\cross_region_run02_bps8.bin,1000000,2f04089a963a6928c828d670118d5a097acf69b312b926b5add3e86e36095ca8
