label,source,window_index,packet_start,packet_end,packets,phase_diff_mean_ps,phase_diff_std_ps,phase_diff_autocorr_lag1,raw_diff_entropy,raw_same_diff_transition_ratio,raw_longest_same_diff_bin_run
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,-16.7996282,1427.09191,-0.00993340416,5.88888779,0.0180708181,3
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,-43.6879238,1440.03673,-0.0159449048,5.89116578,0.0168498168,3
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,-34.3688992,1435.64416,-0.0128468153,5.82805844,0.0231990232,3
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,-26.5691706,1436.92333,0.00092066432,5.83070988,0.0212454212,3
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,2,8192,12287,4096,-54.5125235,1430.15613,-0.00687817753,5.83131771,0.0195360195,2
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,3,12288,16383,4096,-58.9254996,1437.5965,-0.0292856472,5.82615252,0.022954823,3
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,4,16384,20479,4096,-56.0846848,1419.14052,0.0077956631,5.83126431,0.02002442,3
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,5,20480,24575,4096,-82.0745792,1431.26573,-0.00914290615,5.84140062,0.0178266178,3
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,6,24576,28671,4096,-54.8208067,1431.73478,0.0107150618,5.83966704,0.0188034188,2
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,-29.4459135,1442.54935,-0.0218988504,5.81971197,0.021001221,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,-71.933816,1427.58782,-0.0125788951,5.84016693,0.02002442,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,-76.9292657,1440.00295,-0.0102723437,5.83705272,0.0180708181,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,-37.0827159,1442.9467,-0.0163843558,5.82900638,0.0202686203,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,-38.0575374,1420.71456,-0.00124597918,5.83443468,0.0207570208,2
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,-91.7414915,1426.65253,0.00248217299,5.85691528,0.0168498168,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,-51.2223719,1426.13002,0.00409684094,5.84214187,0.0212454212,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,11.6442953,1427.70799,0.019107689,5.84457078,0.019047619,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,-57.1490444,1440.49769,0.014255917,5.84558186,0.0163614164,2
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,-2.70836837,1430.22204,0.0228224481,5.88983578,0.0195360195,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,14.6068731,1424.23987,0.000728041384,5.88785987,0.0166056166,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,2,8192,12287,4096,32.4936428,1429.94336,0.0179147292,5.86456664,0.0195360195,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,3,12288,16383,4096,31.7780633,1432.23867,0.0138641935,5.87951768,0.019047619,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,4,16384,20479,4096,-10.7621714,1421.81285,-0.0115077242,5.89223424,0.0207570208,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,5,20480,24575,4096,51.4227479,1430.62716,0.00224254332,5.87336365,0.0207570208,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,6,24576,28671,4096,-6.63577339,1432.94103,-0.0325310426,5.87027482,0.0192918193,3
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,9.04410136,1434.07945,-0.0252428134,5.86321172,0.022954823,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,-59.374188,1438.13935,0.000765852093,5.92215473,0.0163614164,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,-65.9577619,1443.18558,0.00359931441,5.92845902,0.0161172161,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,-38.1056123,1420.91325,-0.0110440343,5.9274675,0.0146520147,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,-21.3053601,1431.80322,0.00897784037,5.91628409,0.0192918193,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,-48.0196152,1447.62024,-0.0128952796,5.91163971,0.0212454212,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,-108.693524,1441.21036,0.0199696544,5.91926465,0.0166056166,3
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,-45.2818001,1439.90325,-0.00729556025,5.90645057,0.0148962149,2
random1_sampler_local_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,-62.7722439,1427.79229,0.00627405465,5.93371274,0.0163614164,3
