bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
msb,116,14,3,9,23,0.281250000,0.218750000,23,116,115,False
msb,117,14,2,11,21,0.343750000,0.156250000,21,117,114,False
msb,118,14,1,14,18,0.437500000,0.062500000,18,118,113,False
msb,119,14,0,9,23,0.281250000,0.218750000,23,119,112,False
msb,120,15,7,8,24,0.250000000,0.250000000,24,120,127,False
msb,121,15,6,16,16,0.500000000,0.000000000,16,121,126,False
msb,122,15,5,14,18,0.437500000,0.062500000,18,122,125,False
msb,123,15,4,13,19,0.406250000,0.093750000,19,123,124,False
msb,124,15,3,10,22,0.312500000,0.187500000,22,124,123,False
msb,125,15,2,12,20,0.375000000,0.125000000,20,125,122,False
msb,126,15,1,11,21,0.343750000,0.156250000,21,126,121,False
msb,127,15,0,10,22,0.312500000,0.187500000,22,127,120,False
