name,ref_name,loc,bel
state_count[4]_i_1,LUT6,SLICE_X40Y38,SLICEL.D6LUT
state_count[50]_i_1,LUT6,SLICE_X39Y48,SLICEL.B6LUT
state_count[51]_i_1,LUT6,SLICE_X39Y48,SLICEL.C6LUT
state_count[52]_i_1,LUT6,SLICE_X39Y48,SLICEL.D6LUT
state_count[53]_i_1,LUT6,SLICE_X40Y49,SLICEL.A6LUT
state_count[54]_i_1,LUT6,SLICE_X40Y49,SLICEL.B6LUT
state_count[55]_i_1,LUT6,SLICE_X40Y49,SLICEL.C6LUT
state_count[56]_i_1,LUT6,SLICE_X40Y49,SLICEL.D6LUT
state_count[57]_i_1,LUT6,SLICE_X40Y50,SLICEL.A6LUT
state_count[58]_i_1,LUT6,SLICE_X40Y50,SLICEL.B6LUT
state_count[59]_i_1,LUT6,SLICE_X40Y50,SLICEL.C6LUT
state_count[5]_i_1,LUT6,SLICE_X42Y40,SLICEM.B6LUT
state_count[60]_i_1,LUT6,SLICE_X42Y50,SLICEM.A6LUT
state_count[61]_i_1,LUT6,SLICE_X42Y50,SLICEM.B6LUT
state_count[62]_i_1,LUT6,SLICE_X42Y50,SLICEM.C6LUT
state_count[63]_i_2,LUT6,SLICE_X40Y50,SLICEL.D6LUT
state_count[6]_i_1,LUT6,SLICE_X42Y39,SLICEM.B6LUT
state_count[7]_i_1,LUT6,SLICE_X42Y38,SLICEM.B6LUT
state_count[8]_i_1,LUT6,SLICE_X42Y38,SLICEM.C6LUT
state_count[9]_i_1,LUT6,SLICE_X42Y38,SLICEM.D6LUT
state_count_reg[0],FDRE,SLICE_X42Y39,SLICEM.AFF
state_count_reg[10],FDRE,SLICE_X40Y38,SLICEL.AFF
state_count_reg[11],FDRE,SLICE_X40Y38,SLICEL.BFF
state_count_reg[12],FDRE,SLICE_X42Y38,SLICEM.AFF
state_count_reg[12]_i_2,CARRY4,SLICE_X41Y38,SLICEL.CARRY4
state_count_reg[13],FDRE,SLICE_X40Y39,SLICEL.AFF
state_count_reg[14],FDRE,SLICE_X40Y39,SLICEL.BFF
state_count_reg[15],FDRE,SLICE_X45Y39,SLICEL.AFF
state_count_reg[16],FDRE,SLICE_X40Y39,SLICEL.CFF
state_count_reg[16]_i_2,CARRY4,SLICE_X41Y39,SLICEL.CARRY4
state_count_reg[17],FDRE,SLICE_X42Y40,SLICEM.AFF
state_count_reg[18],FDRE,SLICE_X40Y40,SLICEL.AFF
state_count_reg[19],FDRE,SLICE_X40Y40,SLICEL.BFF
state_count_reg[1],FDRE,SLICE_X42Y39,SLICEM.CFF
state_count_reg[20],FDRE,SLICE_X40Y40,SLICEL.CFF
state_count_reg[20]_i_2,CARRY4,SLICE_X41Y40,SLICEL.CARRY4
state_count_reg[21],FDRE,SLICE_X42Y41,SLICEM.AFF
state_count_reg[22],FDRE,SLICE_X42Y41,SLICEM.BFF
state_count_reg[23],FDRE,SLICE_X42Y41,SLICEM.CFF
state_count_reg[24],FDRE,SLICE_X42Y41,SLICEM.DFF
state_count_reg[24]_i_2,CARRY4,SLICE_X41Y41,SLICEL.CARRY4
state_count_reg[25],FDRE,SLICE_X42Y42,SLICEM.AFF
state_count_reg[26],FDRE,SLICE_X42Y42,SLICEM.BFF
state_count_reg[27],FDRE,SLICE_X42Y42,SLICEM.CFF
state_count_reg[28],FDRE,SLICE_X42Y42,SLICEM.DFF
state_count_reg[28]_i_2,CARRY4,SLICE_X41Y42,SLICEL.CARRY4
state_count_reg[29],FDRE,SLICE_X43Y43,SLICEL.AFF
state_count_reg[2],FDRE,SLICE_X40Y39,SLICEL.DFF
state_count_reg[30],FDRE,SLICE_X44Y43,SLICEL.AFF
state_count_reg[31],FDRE,SLICE_X44Y43,SLICEL.BFF
state_count_reg[32],FDRE,SLICE_X43Y43,SLICEL.BFF
state_count_reg[32]_i_2,CARRY4,SLICE_X41Y43,SLICEL.CARRY4
state_count_reg[33],FDRE,SLICE_X42Y44,SLICEM.AFF
state_count_reg[34],FDRE,SLICE_X42Y44,SLICEM.BFF
state_count_reg[35],FDRE,SLICE_X42Y44,SLICEM.CFF
state_count_reg[36],FDRE,SLICE_X42Y44,SLICEM.DFF
state_count_reg[36]_i_2,CARRY4,SLICE_X41Y44,SLICEL.CARRY4
state_count_reg[37],FDRE,SLICE_X42Y45,SLICEM.AFF
state_count_reg[38],FDRE,SLICE_X42Y45,SLICEM.BFF
state_count_reg[39],FDRE,SLICE_X42Y45,SLICEM.CFF
state_count_reg[3],FDRE,SLICE_X40Y38,SLICEL.CFF
state_count_reg[40],FDRE,SLICE_X42Y45,SLICEM.DFF
state_count_reg[40]_i_2,CARRY4,SLICE_X41Y45,SLICEL.CARRY4
state_count_reg[41],FDRE,SLICE_X42Y46,SLICEM.AFF
state_count_reg[42],FDRE,SLICE_X42Y46,SLICEM.BFF
state_count_reg[43],FDRE,SLICE_X42Y46,SLICEM.CFF
state_count_reg[44],FDRE,SLICE_X42Y46,SLICEM.DFF
state_count_reg[44]_i_2,CARRY4,SLICE_X41Y46,SLICEL.CARRY4
state_count_reg[45],FDRE,SLICE_X42Y47,SLICEM.AFF
state_count_reg[46],FDRE,SLICE_X42Y47,SLICEM.BFF
state_count_reg[47],FDRE,SLICE_X42Y47,SLICEM.CFF
state_count_reg[48],FDRE,SLICE_X42Y47,SLICEM.DFF
state_count_reg[48]_i_2,CARRY4,SLICE_X41Y47,SLICEL.CARRY4
state_count_reg[49],FDRE,SLICE_X39Y48,SLICEL.AFF
state_count_reg[4],FDRE,SLICE_X40Y38,SLICEL.DFF
state_count_reg[4]_i_2,CARRY4,SLICE_X41Y36,SLICEL.CARRY4
state_count_reg[50],FDRE,SLICE_X39Y48,SLICEL.BFF
state_count_reg[51],FDRE,SLICE_X39Y48,SLICEL.CFF
state_count_reg[52],FDRE,SLICE_X39Y48,SLICEL.DFF
state_count_reg[52]_i_2,CARRY4,SLICE_X41Y48,SLICEL.CARRY4
state_count_reg[53],FDRE,SLICE_X40Y49,SLICEL.AFF
state_count_reg[54],FDRE,SLICE_X40Y49,SLICEL.BFF
state_count_reg[55],FDRE,SLICE_X40Y49,SLICEL.CFF
state_count_reg[56],FDRE,SLICE_X40Y49,SLICEL.DFF
state_count_reg[56]_i_2,CARRY4,SLICE_X41Y49,SLICEL.CARRY4
state_count_reg[57],FDRE,SLICE_X40Y50,SLICEL.AFF
state_count_reg[58],FDRE,SLICE_X40Y50,SLICEL.BFF
state_count_reg[59],FDRE,SLICE_X40Y50,SLICEL.CFF
state_count_reg[5],FDRE,SLICE_X42Y40,SLICEM.BFF
state_count_reg[60],FDRE,SLICE_X42Y50,SLICEM.AFF
state_count_reg[60]_i_2,CARRY4,SLICE_X41Y50,SLICEL.CARRY4
state_count_reg[61],FDRE,SLICE_X42Y50,SLICEM.BFF
state_count_reg[62],FDRE,SLICE_X42Y50,SLICEM.CFF
state_count_reg[63],FDRE,SLICE_X40Y50,SLICEL.DFF
state_count_reg[63]_i_6,CARRY4,SLICE_X41Y51,SLICEL.CARRY4
state_count_reg[6],FDRE,SLICE_X42Y39,SLICEM.BFF
state_count_reg[7],FDRE,SLICE_X42Y38,SLICEM.BFF
state_count_reg[8],FDRE,SLICE_X42Y38,SLICEM.CFF
state_count_reg[8]_i_2,CARRY4,SLICE_X41Y37,SLICEL.CARRY4
state_count_reg[9],FDRE,SLICE_X42Y38,SLICEM.DFF
u_entropy_source,entropy_source,,
u_entropy_source/GND,GND,,
u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,LUT6_and2_1,,
u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X44Y39,SLICEL.A6LUT
u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1,,
u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X44Y39,SLICEL.B6LUT
u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,LUT6_and2_1_0,,
u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X52Y42,SLICEL.C6LUT
u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_1,,
u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X52Y42,SLICEL.D6LUT
u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1,LUT6_and2_1_2,,
u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X67Y63,SLICEL.A6LUT
u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_3,,
u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X67Y63,SLICEL.B6LUT
u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1,LUT6_and2_1_4,,
u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X66Y59,SLICEM.C6LUT
u_entropy_source/RO_NUM_LOOP[3].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_5,,
u_entropy_source/RO_NUM_LOOP[3].RO_STAGE_LOOP[0].u_LUT6_not1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[3].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,LUT6,SLICE_X66Y59,SLICEM.D6LUT
u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1,LUT6_and2_1_6,,
u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/GND,GND,,
u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/u_LUT6,LUT6,SLICE_X49Y41,SLICEL.A6LUT
u_entropy_source/RO_NUM_LOOP[4].RO_STAGE_LOOP[0].u_LUT6_not1,LUT6_not1_7,,
