name,ref_name_formal,ref_name_compact,formal_loc,compact_loc,formal_bel,compact_bel,loc_changed,bel_changed
state_count[11]_i_1,LUT6,LUT6,SLICE_X40Y38,SLICE_X41Y36,SLICEL.B6LUT,SLICEL.B6LUT,True,False
state_count[12]_i_1,LUT6,LUT6,SLICE_X42Y38,SLICE_X39Y36,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[13]_i_1,LUT6,LUT6,SLICE_X40Y39,SLICE_X39Y37,SLICEL.A6LUT,SLICEL.A6LUT,True,False
state_count[14]_i_1,LUT6,LUT6,SLICE_X40Y39,SLICE_X41Y37,SLICEL.B6LUT,SLICEL.A6LUT,True,True
state_count[15]_i_1,LUT6,LUT6,SLICE_X45Y39,SLICE_X41Y37,SLICEL.A6LUT,SLICEL.B6LUT,True,True
state_count[16]_i_1,LUT6,LUT6,SLICE_X40Y39,SLICE_X39Y37,SLICEL.C6LUT,SLICEL.B6LUT,True,True
state_count[17]_i_1,LUT6,LUT6,SLICE_X42Y40,SLICE_X41Y38,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[18]_i_1,LUT6,LUT6,SLICE_X40Y40,SLICE_X39Y38,SLICEL.A6LUT,SLICEL.A6LUT,True,False
state_count[19]_i_1,LUT6,LUT6,SLICE_X40Y40,SLICE_X41Y38,SLICEL.B6LUT,SLICEL.B6LUT,True,False
state_count[1]_i_1,LUT6,LUT6,SLICE_X42Y39,SLICE_X39Y35,SLICEM.C6LUT,SLICEL.A6LUT,True,True
state_count[20]_i_1,LUT6,LUT6,SLICE_X40Y40,SLICE_X39Y38,SLICEL.C6LUT,SLICEL.B6LUT,True,True
state_count[21]_i_1,LUT6,LUT6,SLICE_X42Y41,SLICE_X41Y40,SLICEM.A6LUT,SLICEL.A6LUT,True,True
state_count[22]_i_1,LUT6,LUT6,SLICE_X42Y41,SLICE_X41Y39,SLICEM.B6LUT,SLICEL.A6LUT,True,True
state_count[23]_i_1,LUT6,LUT6,SLICE_X42Y41,SLICE_X41Y39,SLICEM.C6LUT,SLICEL.B6LUT,True,True
state_count[24]_i_1,LUT6,LUT6,SLICE_X42Y41,SLICE_X41Y39,SLICEM.D6LUT,SLICEL.C6LUT,True,True
