bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
msb,58,7,5,10,22,0.312500000,0.187500000,22,58,61
msb,59,7,4,12,20,0.375000000,0.125000000,20,59,60
msb,60,7,3,13,19,0.406250000,0.093750000,19,60,59
msb,61,7,2,17,15,0.531250000,0.031250000,17,61,58
msb,62,7,1,14,18,0.437500000,0.062500000,18,62,57
msb,63,7,0,16,16,0.500000000,0.000000000,16,63,56
msb,64,8,7,16,16,0.500000000,0.000000000,16,64,71
msb,65,8,6,8,24,0.250000000,0.250000000,24,65,70
msb,66,8,5,13,19,0.406250000,0.093750000,19,66,69
msb,67,8,4,24,8,0.750000000,0.250000000,24,67,68
msb,68,8,3,9,23,0.281250000,0.218750000,23,68,67
msb,69,8,2,8,24,0.250000000,0.250000000,24,69,66
msb,70,8,1,16,16,0.500000000,0.000000000,16,70,65
msb,71,8,0,9,23,0.281250000,0.218750000,23,71,64
msb,72,9,7,17,15,0.531250000,0.031250000,17,72,79
msb,73,9,6,13,19,0.406250000,0.093750000,19,73,78
msb,74,9,5,15,17,0.468750000,0.031250000,17,74,77
msb,75,9,4,14,18,0.437500000,0.062500000,18,75,76
msb,76,9,3,14,18,0.437500000,0.062500000,18,76,75
msb,77,9,2,14,18,0.437500000,0.062500000,18,77,74
msb,78,9,1,12,20,0.375000000,0.125000000,20,78,73
msb,79,9,0,14,18,0.437500000,0.062500000,18,79,72
msb,80,10,7,14,18,0.437500000,0.062500000,18,80,87
msb,81,10,6,12,20,0.375000000,0.125000000,20,81,86
msb,82,10,5,7,25,0.218750000,0.281250000,25,82,85
msb,83,10,4,16,16,0.500000000,0.000000000,16,83,84
msb,84,10,3,13,19,0.406250000,0.093750000,19,84,83
msb,85,10,2,14,18,0.437500000,0.062500000,18,85,82
msb,86,10,1,13,19,0.406250000,0.093750000,19,86,81
msb,87,10,0,10,22,0.312500000,0.187500000,22,87,80
msb,88,11,7,13,19,0.406250000,0.093750000,19,88,95
msb,89,11,6,12,20,0.375000000,0.125000000,20,89,94
msb,90,11,5,11,21,0.343750000,0.156250000,21,90,93
msb,91,11,4,15,17,0.468750000,0.031250000,17,91,92
msb,92,11,3,12,20,0.375000000,0.125000000,20,92,91
msb,93,11,2,10,22,0.312500000,0.187500000,22,93,90
msb,94,11,1,12,20,0.375000000,0.125000000,20,94,89
msb,95,11,0,10,22,0.312500000,0.187500000,22,95,88
msb,96,12,7,14,18,0.437500000,0.062500000,18,96,103
msb,97,12,6,11,21,0.343750000,0.156250000,21,97,102
msb,98,12,5,11,21,0.343750000,0.156250000,21,98,101
msb,99,12,4,15,17,0.468750000,0.031250000,17,99,100
msb,100,12,3,13,19,0.406250000,0.093750000,19,100,99
msb,101,12,2,17,15,0.531250000,0.031250000,17,101,98
msb,102,12,1,9,23,0.281250000,0.218750000,23,102,97
msb,103,12,0,6,26,0.187500000,0.312500000,26,103,96
msb,104,13,7,13,19,0.406250000,0.093750000,19,104,111
msb,105,13,6,10,22,0.312500000,0.187500000,22,105,110
msb,106,13,5,14,18,0.437500000,0.062500000,18,106,109
msb,107,13,4,11,21,0.343750000,0.156250000,21,107,108
msb,108,13,3,12,20,0.375000000,0.125000000,20,108,107
msb,109,13,2,13,19,0.406250000,0.093750000,19,109,106
msb,110,13,1,7,25,0.218750000,0.281250000,25,110,105
msb,111,13,0,12,20,0.375000000,0.125000000,20,111,104
msb,112,14,7,11,21,0.343750000,0.156250000,21,112,119
msb,113,14,6,12,20,0.375000000,0.125000000,20,113,118
msb,114,14,5,11,21,0.343750000,0.156250000,21,114,117
msb,115,14,4,11,21,0.343750000,0.156250000,21,115,116
msb,116,14,3,9,23,0.281250000,0.218750000,23,116,115
