byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
32,7,486,514,0.486000000,514,256,263
33,0,510,490,0.510000000,510,271,264
33,1,485,515,0.485000000,515,270,265
33,2,494,506,0.494000000,506,269,266
33,3,500,500,0.500000000,500,268,267
33,4,489,511,0.489000000,511,267,268
33,5,468,532,0.468000000,532,266,269
33,6,487,513,0.487000000,513,265,270
33,7,486,514,0.486000000,514,264,271
34,0,481,519,0.481000000,519,279,272
34,1,492,508,0.492000000,508,278,273
34,2,503,497,0.503000000,503,277,274
34,3,500,500,0.500000000,500,276,275
34,4,514,486,0.514000000,514,275,276
34,5,503,497,0.503000000,503,274,277
34,6,501,499,0.501000000,501,273,278
34,7,487,513,0.487000000,513,272,279
35,0,481,519,0.481000000,519,287,280
35,1,473,527,0.473000000,527,286,281
35,2,493,507,0.493000000,507,285,282
35,3,504,496,0.504000000,504,284,283
35,4,454,546,0.454000000,546,283,284
35,5,487,513,0.487000000,513,282,285
35,6,478,522,0.478000000,522,281,286
35,7,503,497,0.503000000,503,280,287
36,0,517,483,0.517000000,517,295,288
36,1,482,518,0.482000000,518,294,289
36,2,517,483,0.517000000,517,293,290
36,3,492,508,0.492000000,508,292,291
36,4,485,515,0.485000000,515,291,292
36,5,523,477,0.523000000,523,290,293
36,6,499,501,0.499000000,501,289,294
36,7,493,507,0.493000000,507,288,295
37,0,490,510,0.490000000,510,303,296
37,1,471,529,0.471000000,529,302,297
37,2,484,516,0.484000000,516,301,298
37,3,517,483,0.517000000,517,300,299
37,4,504,496,0.504000000,504,299,300
37,5,493,507,0.493000000,507,298,301
37,6,465,535,0.465000000,535,297,302
37,7,476,524,0.476000000,524,296,303
38,0,505,495,0.505000000,505,311,304
38,1,508,492,0.508000000,508,310,305
38,2,495,505,0.495000000,505,309,306
38,3,520,480,0.520000000,520,308,307
38,4,503,497,0.503000000,503,307,308
38,5,489,511,0.489000000,511,306,309
38,6,479,521,0.479000000,521,305,310
38,7,497,503,0.497000000,503,304,311
39,0,514,486,0.514000000,514,319,312
39,1,516,484,0.516000000,516,318,313
39,2,482,518,0.482000000,518,317,314
39,3,489,511,0.489000000,511,316,315
39,4,486,514,0.486000000,514,315,316
39,5,495,505,0.495000000,505,314,317
39,6,466,534,0.466000000,534,313,318
39,7,507,493,0.507000000,507,312,319
40,0,506,494,0.506000000,506,327,320
40,1,491,509,0.491000000,509,326,321
40,2,512,488,0.512000000,512,325,322
40,3,506,494,0.506000000,506,324,323
40,4,502,498,0.502000000,502,323,324
40,5,512,488,0.512000000,512,322,325
40,6,466,534,0.466000000,534,321,326
40,7,504,496,0.504000000,504,320,327
41,0,505,495,0.505000000,505,335,328
41,1,476,524,0.476000000,524,334,329
41,2,496,504,0.496000000,504,333,330
41,3,489,511,0.489000000,511,332,331
41,4,492,508,0.492000000,508,331,332
41,5,470,530,0.470000000,530,330,333
41,6,502,498,0.502000000,502,329,334
41,7,518,482,0.518000000,518,328,335
42,0,517,483,0.517000000,517,343,336
42,1,473,527,0.473000000,527,342,337
42,2,507,493,0.507000000,507,341,338
42,3,482,518,0.482000000,518,340,339
42,4,492,508,0.492000000,508,339,340
42,5,494,506,0.494000000,506,338,341
42,6,487,513,0.487000000,513,337,342
42,7,479,521,0.479000000,521,336,343
43,0,518,482,0.518000000,518,351,344
43,1,495,505,0.495000000,505,350,345
43,2,482,518,0.482000000,518,349,346
43,3,495,505,0.495000000,505,348,347
43,4,516,484,0.516000000,516,347,348
43,5,487,513,0.487000000,513,346,349
43,6,508,492,0.508000000,508,345,350
43,7,506,494,0.506000000,506,344,351
44,0,469,531,0.469000000,531,359,352
44,1,514,486,0.514000000,514,358,353
44,2,514,486,0.514000000,514,357,354
44,3,499,501,0.499000000,501,356,355
44,4,494,506,0.494000000,506,355,356
44,5,513,487,0.513000000,513,354,357
44,6,469,531,0.469000000,531,353,358
44,7,495,505,0.495000000,505,352,359
45,0,507,493,0.507000000,507,367,360
45,1,482,518,0.482000000,518,366,361
45,2,521,479,0.521000000,521,365,362
45,3,512,488,0.512000000,512,364,363
45,4,480,520,0.480000000,520,363,364
45,5,508,492,0.508000000,508,362,365
45,6,498,502,0.498000000,502,361,366
45,7,487,513,0.487000000,513,360,367
46,0,478,522,0.478000000,522,375,368
46,1,514,486,0.514000000,514,374,369
46,2,471,529,0.471000000,529,373,370
46,3,506,494,0.506000000,506,372,371
