label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,2.6771444,5.47787385,6.64927228,1.31262432,3.93930407,5.01131531,11.4976186,0.0136752137,2,0.0282612732,-1.90576172,34.9540135
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,2.68801872,5.49313641,6.64032406,1.3073845,4.01700643,4.84012866,11.5140165,0.0105006105,2,0.00375467207,-0.729736328,35.2012245
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,2,8192,12287,4096,2.69544505,5.46472962,6.61932425,1.30477171,3.73321346,4.91253716,11.5091144,0.0124542125,2,0.0254701636,-1.17529297,35.305899
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,3,12288,16383,4096,2.63158294,5.48794761,6.63329039,1.28661349,3.90196792,5.06926266,11.5079216,0.0136752137,3,0.00405748839,-1.4909668,34.9398844
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,4,16384,20479,4096,2.77989598,5.48429965,6.65259126,1.35794831,3.90724286,5.06926266,11.5407416,0.0129426129,3,-0.0220427153,-2.11401367,35.137691
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,5,20480,24575,4096,2.69217262,5.48378095,6.63554899,1.28575448,3.82009091,5.03421572,11.5124747,0.0148962149,3,0.0135108456,-1.23095703,35.3871299
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,6,24576,28671,4096,2.65964976,5.48458519,6.63679735,1.3364419,4.00564656,5.01131531,11.5350358,0.0114774115,2,-0.0392225138,-1.22509766,35.3772222
random1_sampler_local_warmup0,tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,2.62755083,5.47256914,6.62020248,1.30390183,3.92853764,5.02272008,11.5188115,0.0146520147,2,-0.0207429101,-2.00488281,35.1153825
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,2.64882011,5.5877877,6.70550509,1.28146712,4.29264087,5.23181568,11.5864236,0.0102564103,3,0.00310638116,-1.13452148,35.103513
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,2.67488626,5.57731678,6.71402603,1.30129533,4.16079621,5.27207955,11.6108585,0.00976800977,2,-0.00446424567,-1.11669922,35.5644189
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,2.75894883,5.60188069,6.7188644,1.3588514,4.1991001,5.25853301,11.5768485,0.00732600733,2,-0.00335145968,-0.444824219,34.8085205
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,2.71270284,5.56483109,6.70173501,1.333776,4.16710999,5.20558413,11.5873018,0.0139194139,3,0.0130459317,-0.200195312,35.285121
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,2.51500112,5.5743236,6.68575398,1.27890081,4.08113676,5.37064338,11.5747627,0.0136752137,2,-0.00557961588,-0.649414062,35.1608221
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,2.66088764,5.59562604,6.72229451,1.24929301,4.33466408,5.40008716,11.5985076,0.0107448107,3,0.0089351297,-1.59375,35.3571348
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,2.66264145,5.58970653,6.71751501,1.31262432,4.23181568,5.43014439,11.6068899,0.00952380952,2,-0.013608826,-0.495605469,35.2791551
random1_sampler_local_warmup12,tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,2.705646,5.61950005,6.73564738,1.31262432,4.38529016,5.44541115,11.6002281,0.01001221,3,0.0163495123,-0.826904297,34.929597
