label_a,label_b,group,name,loc_a,loc_b,bel_a,bel_b,loc_changed,bel_changed
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[10],SLICE_X47Y32,SLICE_X47Y32,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[11],SLICE_X48Y32,SLICE_X48Y32,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[12],SLICE_X49Y32,SLICE_X49Y32,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[13],SLICE_X50Y32,SLICE_X50Y32,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[14],SLICE_X51Y32,SLICE_X51Y32,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[15],SLICE_X52Y32,SLICE_X52Y32,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16],SLICE_X45Y33,SLICE_X45Y33,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[17],SLICE_X46Y33,SLICE_X46Y33,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[18],SLICE_X47Y33,SLICE_X47Y33,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[19],SLICE_X48Y33,SLICE_X48Y33,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[20],SLICE_X49Y33,SLICE_X49Y33,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[21],SLICE_X50Y33,SLICE_X50Y33,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[22],SLICE_X51Y33,SLICE_X51Y33,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[23],SLICE_X52Y33,SLICE_X52Y33,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24],SLICE_X45Y34,SLICE_X45Y34,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[25],SLICE_X46Y34,SLICE_X46Y34,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[26],SLICE_X47Y34,SLICE_X47Y34,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[27],SLICE_X48Y34,SLICE_X48Y34,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[28],SLICE_X49Y34,SLICE_X49Y34,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[29],SLICE_X50Y34,SLICE_X50Y34,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[30],SLICE_X51Y34,SLICE_X51Y34,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[31],SLICE_X52Y34,SLICE_X52Y34,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[32],SLICE_X45Y35,SLICE_X45Y35,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[33],SLICE_X46Y35,SLICE_X46Y35,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[34],SLICE_X47Y35,SLICE_X47Y35,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[35],SLICE_X48Y35,SLICE_X48Y35,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[36],SLICE_X49Y35,SLICE_X49Y35,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[37],SLICE_X50Y35,SLICE_X50Y35,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[38],SLICE_X51Y35,SLICE_X51Y35,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[39],SLICE_X52Y35,SLICE_X52Y35,SLICEL.A5FF,SLICEL.A5FF,False,False
