label,input_file,input_sha256,restart_count,bytes_per_restart,overall_p1,row_ones_mean,row_ones_std,worst_byte,worst_bit_lsb_index,worst_ones,worst_zeros,worst_x,worst_p1,msb_column,lsb_column,bitrev_msb_column,byte_reverse_msb_column,byte_reverse_lsb_column,cyclic_shift1_msb_column,cyclic_shift4_msb_column
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524.bin,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF,1000,125,0.40797,407.97,16.70865344664255,1,6,249,751,751,0.249,9,14,14,985,990,10,13
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524.bin,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B,1000,125,0.497894,497.894,16.020822825310816,111,2,442,558,558,0.442,893,890,890,109,106,894,889
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524.bin,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526,1000,125,0.498602,498.602,15.916456766504284,104,4,561,439,561,0.561,835,836,836,163,164,836,839
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524.bin,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615,1000,125,0.49628,496.28,16.491197652080942,24,4,449,551,551,0.449,195,196,196,803,804,196,199
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524.bin,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60,1000,125,0.497339,497.339,15.679479551311644,108,7,446,554,554,0.446,864,871,871,128,135,865,868
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524.bin,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988,1000,125,0.484294,484.294,16.320219483818224,0,3,442,558,558,0.442,4,3,3,996,995,5,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524.bin,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077,1000,125,0.482728,482.728,15.795569505402456,83,0,436,564,564,0.436,671,664,664,335,328,664,667
random3_restart_auto_formal_bits_1000x125_header_delay60s_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_header_delay60s_20260515.bin,A9B7BD143BE83CF63F7EF793B6D8409011A03EB8E70DE6828D1EFA4388A59338,1000,125,0.497933,497.933,15.136330830158279,0,0,315,685,685,0.315,7,0,0,999,992,0,3
random3_restart_auto_formal_bits_1000x125_header_delay60s_repeat02_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_header_delay60s_repeat02_20260515.bin,7CE2161474009731EA7AC3C7ACBD7E38443DD55AC6881DAA5D2F2FAAB4D10ED5,1000,125,0.497787,497.787,15.383485658328544,2,7,680,320,680,0.68,16,23,23,976,983,17,20
random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_20260515.bin,90810C80B5936DF71B184D37E357E85FE05D33ED83CB0E5D0748906FF9BC6597,1000,125,0.415017,415.017,15.497442079259404,1,4,350,650,650,0.35,11,12,12,987,988,12,15
