board,context,implementation,warmup,kind,index,p1,signed_bias,abs_bias,beta_factor,min_entropy,worst_x,worst_p1,source_file
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,0,0.691067000,0.191067000,0.191067000,-0.382134000,0.533102506,9,0.747000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,1,0.499526000,-0.000474000,0.000474000,0.000948000,0.998632973,151,0.445000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,2,0.731959000,0.231959000,0.231959000,-0.463918000,0.450165255,6,0.784000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,3,0.499791000,-0.000209000,0.000209000,0.000418000,0.999397079,34,0.551000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,4,0.498472000,-0.001528000,0.001528000,0.003056000,0.995597847,33,0.546000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,5,0.500389000,0.000389000,0.000389000,-0.000778000,0.998878020,21,0.449000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,6,0.499245000,-0.000755000,0.000755000,0.001510000,0.997823174,476,0.449000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,except_data_ro,7,0.500549000,0.000549000,0.000549000,-0.001098000,0.998416790,537,0.442000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,all640,all,0.500040000,0.000040000,0.000040000,-0.000080000,0.999884589,653,0.554000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,data_ro,0,0.264807000,-0.235193000,0.235193000,0.470386000,0.443805065,22,0.090000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
