section,evidence_class,comparison_scope,item,run,metric,value,unit,n,baseline,delta,interpretation,source_file
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,monobit_p,0.00495065355,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,p1,0.500216961,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,runs_p,0.64365765,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,abs_bias,3.58939171e-05,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,adjacent_equal_ratio,0.49997926354383543,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,bit_min_entropy,0.9998964357649321,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,byte_min_entropy,7.9849683233164415,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,bytes,10485760,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,monobit_p,0.5108594282789733,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,p1,0.5000358939170837,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_run01_10mib,runs_p,0.7039423970583514,,1,,,single captured baseline run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\analysis_original_fpga1_run01_10mib\trng_summary.csv
TRNG,statistical_comparison,placement_matrix_formal_10mib,all_non_original_placements,,abs_bias_mean,0.0242304766,,10,,std=0.0502363689; min=random3:3.14354897e-05; max=random1:0.162684488,lower is better,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,statistical_comparison,placement_matrix_formal_10mib,all_non_original_placements,,bit_min_entropy_mean,0.936974344,,10,,std=0.12563009; min=random1:0.593605945; max=random3:0.999909299,higher is better,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,statistical_comparison,placement_matrix_formal_10mib,all_non_original_placements,,byte_min_entropy_mean,7.46673069,,10,,std=0.979313239; min=random1:4.80160868; max=random3:7.9845501,higher is better,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,statistical_comparison,placement_matrix_formal_10mib,all_non_original_placements,,runs_p_mean,0.131708449,,10,,std=0.228633796; min=far:0; max=cross_region:0.719841022,larger p-value is less suspicious,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
